"PK_ID","sID","Race","Ethnicity","Gender","free_reduced_lunch","limited_english_proficiency","treatment","academic_knowledge","parent_time_read","parent_edu","CTOPP_Blend","CTOPP_EL","letter_ID","picture_vocab","passage_comp","word_attack","KBIT_matrices","KBIT_riddles","KBIT_verbal"
10635,14,3,0,1,1,0,0,12,3,3,0,0,13,15,6,1,9,9,9
10636,14,5,0,1,0,0,0,14,2,4,2,3,14,20,6,2,17,14,19
10637,14,3,0,0,0,0,0,12,2,3,5,3,14,15,7,3,15,12,19
10638,14,3,0,0,0,0,0,13,3,3,8,5,15,18,5,3,13,12,10
10640,14,3,0,0,0,0,0,12,3,3,10,3,14,17,5,3,14,15,12
10641,14,5,0,1,1,0,0,11,0,4,6,1,10,11,4,3,17,11,17
10642,14,2,0,0,0,0,0,14,3,5,10,7,15,16,5,3,18,12,15
10643,14,5,0,1,0,0,0,13,2,4,11,4,14,17,4,3,21,12,18
10644,14,7,0,0,0,0,0,10,3,5,4,4,13,16,6,2,15,13,19
10645,14,5,0,0,0,0,0,12,3,3,10,3,14,15,9,3,20,14,18
10646,14,5,0,1,1,1,0,10,2,3,0,0,13,16,11,3,10,12,13
